State;Crop;District;Year;Year Min;Season;Area (Hectares);Production (Tonnes);Yield (Tonnes/Hectare);Sale price (USD/Tonnes);Sale price (USD/Tonnes)
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2013-14;2013;Kharif     ;1834;739;0,402944384;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2014-15;2014;Kharif     ;6000;4000;0,666666667;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2015-16;2015;Kharif     ;2000;3000;1,5;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2016-17;2016;Kharif     ;4000;4000;1;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2017-18;2017;Kharif     ;1900;1900;1;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2018-19;2018;Kharif     ;553;526;0,951175407;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;AGAR MALWA; 2019-20;2019;Kharif     ;112;39;0,348214286;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2008-09;2008;Kharif     ;2421;1270;0,524576621;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2009-10;2009;Whole Year ;2751;1462;0,531443112;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2010-11;2010;Kharif     ;2722;787;0,289125643;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2011-12;2011;Kharif     ;2677;1006;0,375793799;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2012-13;2012;Kharif     ;2481;1295;0,521966949;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2013-14;2013;Kharif     ;2639;1042;0,394846533;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2014-15;2014;Kharif     ;7000;4000;0,571428571;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2015-16;2015;Kharif     ;4000;3000;0,75;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2017-18;2017;Kharif     ;4000;3910;0,9775;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2018-19;2018;Kharif     ;1160;614;0,529310345;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ALIRAJPUR; 2019-20;2019;Kharif     ;2732;2970;1,087115666;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2003-04;2003;Kharif     ;3722;1895;0,509134874;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2004-05;2004;Kharif     ;3533;1777;0,502971978;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2005-06;2005;Kharif     ;3844;1578;0,410509886;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2006-07;2006;Kharif     ;3742;1432;0,382683057;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2007-08;2007;Kharif     ;3327;1022;0,307183649;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2008-09;2008;Kharif     ;4023;1924;0,478250062;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;ANUPPUR; 2009-10;2009;Whole Year ;3652;1779;0,48713034;774,66121;774,66121
